G, Fitness
0, 0.599656
1, 0.599656
2, 0.599656
3, 0.540667
4, 0.540667
5, 0.496295
6, 0.496295
7, 0.476728
8, 0.468364
9, 0.466589
10, 0.43493
11, 0.43493
12, 0.415501
13, 0.394029
14, 0.394029
15, 0.394029
16, 0.353524
17, 0.353524
18, 0.353524
19, 0.345807
20, 0.339808
21, 0.315889
22, 0.315889
23, 0.315889
24, 0.30711
25, 0.30711
26, 0.295757
27, 0.288736
28, 0.288736
29, 0.239405
30, 0.239405
31, 0.239405
32, 0.239405
33, 0.235928
34, 0.22123
35, 0.22123
36, 0.22067
37, 0.197621
38, 0.197621
39, 0.197621
40, 0.176427
41, 0.171093
42, 0.160779
43, 0.160779
